week,visit,home,line,actual
1,DAL,TB,-7.5,2
1,SEA,IND,3,-12
1,JAX,HOU,3,16
1,PHL,ATL,-4,-26
1,LAC,WAS,1.5,-4
1,PIT,BUF,-6.5,-7
1,SF,DET,7.5,-8
1,MIN,CIN,3.5,3
1,NYJ,CAR,3.5,5
1,ARZ,TEN,-3,-25
1,CLE,KC,-8,4
1,MIA,NE,-3,-1
1,DEN,NYG,2.5,-14
1,GB,NO,4.5,35
1,CHI,LAR,-7.5,20
1,BAL,LV,5,6
2,NYG,WAS,-4,1
2,LV,PIT,-6,-9
2,SF,PHL,3.5,-6
2,HOU,CLE,-11.5,10
2,DEN,JAX,6,-10
2,NO,CAR,3,19
2,LAR,IND,4,-3
2,BUF,MIA,3.5,-35
2,NE,NYJ,5,-19
2,CIN,CHI,-3,3
2,ATL,TB,-13,23
2,MIN,ARZ,-4.5,1
2,TEN,SEA,-5.5,-3
2,DAL,LAC,-2.5,-3
2,KC,BAL,2.5,1
2,DET,GB,-10.5,18
3,CAR,HOU,7.5,-15
3,LAC,KC,-7,-6
3,ARZ,JAX,7,-12
3,CHI,CLE,-7.5,20
3,WAS,BUF,-9.5,22
3,IND,TEN,-5,9
3,NO,NE,-2.5,-15
3,CIN,PIT,-4.5,-14
3,NYJ,DEN,-11,26
3,TB,LAR,-1.5,10
3,GB,SF,-4,-2
3,ATL,NYG,-3,-3
3,BAL,DET,7.5,-2
3,MIA,LV,-4.5,3
3,SEA,MIN,1.5,13
3,PHL,DAL,-4,20
4,JAX,CIN,-7.5,3
4,TEN,NYJ,7.5,3
4,DET,CHI,-3.5,10
4,IND,MIA,2.5,-10
4,CLE,MIN,1.5,-7
4,WAS,ATL,1.5,-4
4,HOU,BUF,-15.5,40
4,NYG,NO,-6.5,-6
4,KC,PHL,5.5,-12
4,CAR,DAL,-4.5,8
4,SEA,SF,-3,-7
4,ARZ,LAR,-6,-17
4,PIT,GB,-6.5,10
4,BAL,DEN,1.5,-16
4,TB,NE,5.5,-2
4,LV,LAC,-3.5,14
5,LAR,SEA,1.5,-9
5,NYJ,ATL,-3.5,7
5,NE,HOU,9,-3
5,DET,MIN,-8,2
5,PHL,CAR,-4,-3
5,NO,WAS,1.5,-11
5,TEN,JAX,4,-18
5,MIA,TB,-10,28
5,GB,CIN,3.5,-3
5,DEN,PIT,-1,8
5,CLE,LAC,-2.5,5
5,NYG,DAL,-7,24
5,SF,ARZ,-5.5,7
5,BUF,KC,-2.5,-18
5,CHI,LV,-4.5,-11
5,IND,BAL,-7,6
6,TB,PHL,7,-6
6,MIA,JAX,3.5,3
6,MIN,CAR,-1,-6
6,LAC,BAL,-3.5,28
6,LAR,NYG,10.5,-27
6,HOU,IND,-10,28
6,KC,WAS,6.5,-18
6,GB,CHI,4.5,-10
6,CIN,DET,3.5,-20
6,ARZ,CLE,-2.5,-23
6,DAL,NE,3.5,-6
6,LV,DEN,-3,-10
6,SEA,PIT,-4.5,3
6,BUF,TEN,5,3
7,DEN,CLE,-3.5,3
7,KC,TEN,4.5,24
7,WAS,GB,-9.5,14
7,CIN,BAL,-6.5,-24
7,CAR,NYG,3,22
7,ATL,MIA,2.5,-2
7,NYJ,NE,-7,41
7,PHL,LV,-3,11
7,DET,LAR,-15,9
7,CHI,TB,-13.5,35
7,HOU,ARZ,-17,26
7,IND,SF,-3.5,-12
7,NO,SEA,4.5,-3
8,GB,ARZ,-6,-3
8,CAR,ATL,-3,-6
8,TEN,IND,-1,-3
8,MIA,BUF,-13.5,15
8,CIN,NYJ,9.5,3
8,PIT,CLE,-3.5,-5
8,PHL,DET,3,-38
8,LAR,HOU,14.5,-16
8,SF,CHI,3.5,-11
8,NE,LAC,-5.5,-3
8,JAX,SEA,-3.5,24
8,TB,NO,5,9
8,WAS,DEN,-3.5,7
8,DAL,MIN,2.5,0
8,NYG,KC,-9.5,3
9,NYJ,IND,-10,15
9,LV,NYG,3,7
9,ATL,NO,-5.5,-2
9,BUF,JAX,14.5,3
9,CLE,CIN,-3,-25
9,NE,CAR,3.5,-18
9,DEN,DAL,-8.5,-14
9,MIN,BAL,-5.5,3
9,HOU,MIA,-7,8
9,LAC,PHL,2.5,-3
9,GB,KC,-7.5,6
9,ARZ,SF,2.5,-14
9,TEN,LAR,-7.5,-12
